428,flawfinder,mlpack,CWE-119," char:\\n Statically-sized arrays can be improperly restricted, leading to potential\\n overflows or other issues "
428,flawfinder,mlpack,CWE-120," char:\\n Statically-sized arrays can be improperly restricted, leading to potential\\n overflows or other issues "
428,flawfinder,mlpack,CWE-119," char:\\n Statically-sized arrays can be improperly restricted, leading to potential\\n overflows or other issues "
428,flawfinder,mlpack,CWE-120," char:\\n Statically-sized arrays can be improperly restricted, leading to potential\\n overflows or other issues "
1697,rats,mlpack,fixed size global buffer,\n Extra care should be taken to ensure that character arrays that are\n allocated on the stack are used safely. They are prime targets for\n buffer overflow attacks.\n 
1697,rats,mlpack,fixed size global buffer,\n Extra care should be taken to ensure that character arrays that are\n allocated on the stack are used safely. They are prime targets for\n buffer overflow attacks.\n 
445,flawfinder,mlpack,CWE-362," readlink:\\n This accepts filename arguments; if an attacker can move those files or\\n change the link content, a race condition results. Also, it does not\\n terminate with ASCII NUL. "
445,flawfinder,mlpack,CWE-20," readlink:\\n This accepts filename arguments; if an attacker can move those files or\\n change the link content, a race condition results. Also, it does not\\n terminate with ASCII NUL. "
445,flawfinder,mlpack,CWE-119," char:\\n Statically-sized arrays can be improperly restricted, leading to potential\\n overflows or other issues "
445,flawfinder,mlpack,CWE-120," char:\\n Statically-sized arrays can be improperly restricted, leading to potential\\n overflows or other issues "
1714,rats,mlpack,fixed size global buffer,\n Extra care should be taken to ensure that character arrays that are\n allocated on the stack are used safely. They are prime targets for\n buffer overflow attacks.\n 
2995,cppcheck,mlpack,CWE-398,"['uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate']"
2995,cppcheck,mlpack,CWE-398,"['uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate']"
2995,cppcheck,mlpack,CWE-398,"['uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate']"
2995,cppcheck,mlpack,CWE-398,"['uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate']"
2995,cppcheck,mlpack,CWE-398,"['uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate']"
2995,cppcheck,mlpack,CWE-398,"['uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate']"
2995,cppcheck,mlpack,CWE-398,"['uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate']"
2995,cppcheck,mlpack,CWE-398,"['uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate', 'uninitMemberVarPrivate']"
689,flawfinder,scipy,CWE-120, in C/C++ ruleset: 222\\nExamining /media/nimashiri/DATA/vsprojects/ICSE23/vul_nd_image.c\\n\\nFINAL RESULTS:\\n\\n/media/nimashiri/DATA/vsprojects/ICSE23/vul_nd_image.c:81: [2] 
1958,rats,scipy,memcpy,"\n Double check that your buffer is as big as you specify.\nWhen using functions that accept a number n of bytes to copy, such as \nstrncpy, be aware that if the dest buffer size = n it may not NULL-terminate \nthe string.\n "
691,flawfinder,scipy,CWE-126, in C/C++ ruleset: 222\\nExamining /media/nimashiri/DATA/vsprojects/ICSE23/vul_distance_pybind.cpp\\n\\nFINAL RESULTS:\\n\\n/media/nimashiri/DATA/vsprojects/ICSE23/vul_distance_pybind.cpp:379: [1] 
1017,infer,scipy, Unreachable Code,[' Unreachable Code']
1017,infer,scipy, Unreachable Code,[' Unreachable Code']
1017,infer,scipy, Unreachable Code,[' Unreachable Code']
1017,infer,scipy, Unreachable Code,[' Unreachable Code']
1017,infer,scipy, Unreachable Code,[' Unreachable Code']
694,flawfinder,scipy,CWE-120, memcpy:\\n Does not check for buffer overflows when copying to destination 
694,flawfinder,scipy,CWE-120, memcpy:\\n Does not check for buffer overflows when copying to destination 
694,flawfinder,scipy,CWE-120, memcpy:\\n Does not check for buffer overflows when copying to destination 
694,flawfinder,scipy,CWE-120, memcpy:\\n Does not check for buffer overflows when copying to destination 
694,flawfinder,scipy,CWE-120, memcpy:\\n Does not check for buffer overflows when copying to destination 
694,flawfinder,scipy,CWE-120, memcpy:\\n Does not check for buffer overflows when copying to destination 
694,flawfinder,scipy,CWE-120, memcpy:\\n Does not check for buffer overflows when copying to destination 
694,flawfinder,scipy,CWE-120, memcpy:\\n Does not check for buffer overflows when copying to destination 
694,flawfinder,scipy,CWE-120, memcpy:\\n Does not check for buffer overflows when copying to destination 
694,flawfinder,scipy,CWE-120, memcpy:\\n Does not check for buffer overflows when copying to destination 
694,flawfinder,scipy,CWE-120, memcpy:\\n Does not check for buffer overflows when copying to destination 
694,flawfinder,scipy,CWE-120, memcpy:\\n Does not check for buffer overflows when copying to destination 
